Pincode,District,StateName,Latitude,Longitude
515631,ANANTAPUR,ANDHRA PRADESH,14.5689,77.85624
515581,ANANTAPUR,ANDHRA PRADESH,14.2488,78.2588
515571,ANANTAPUR,ANDHRA PRADESH,13.9226755,78.2011756
515311,ANANTAPUR,ANDHRA PRADESH,13.805102,77.043902
515281,ANANTAPUR,ANDHRA PRADESH,14.128106,76.980106
515241,ANANTAPUR,ANDHRA PRADESH,13.96,77.68
534176,WEST GODAVARI,ANDHRA PRADESH,16.6286,80.5841
813105,BANKA,BIHAR,84.527,24.239
813203,BHAGALPUR,BIHAR,87.2628853,25.2987632
853202,BHAGALPUR,BIHAR,25.366,84.258
813222,BHAGALPUR,BIHAR,24.623,84.714
812005,BHAGALPUR,BIHAR,25.369,86.369
853203,BHAGALPUR,BIHAR,25.4067,6.8052
812006,BHAGALPUR,BIHAR,24.222,86.365
853204,MADHEPURA,BIHAR,25.2153,86.9362
813209,BHAGALPUR,BIHAR,25.3285,87.5132
530052,VISAKHAPATANAM,ANDHRA PRADESH,17.89,83.34
515871,ANANTAPUR,ANDHRA PRADESH,14.95,76.41
515842,ANANTAPUR,ANDHRA PRADESH,15.67,77.41
515803,ANANTAPUR,ANDHRA PRADESH,14.68,77.61
515775,ANANTAPUR,ANDHRA PRADESH,15.03,77.46
515405,ANANTAPUR,ANDHRA PRADESH,15.02,77.67
515865,ANANTAPUR,ANDHRA PRADESH,14.85,76.86
515455,ANANTAPUR,ANDHRA PRADESH,14.93,77.58
515611,ANANTAPUR,ANDHRA PRADESH,15.32,77.19
515867,ANANTAPUR,ANDHRA PRADESH,14.15,75.81
515812,ANANTAPUR,ANDHRA PRADESH,15.4,77.53
515832,ANANTAPUR,ANDHRA PRADESH,15.49,77.22
515870,ANANTAPUR,ANDHRA PRADESH,15.05,77.17
531173,VISAKHAPATANAM,ANDHRA PRADESH,17.86,83.24
531219,VISAKHAPATANAM,ANDHRA PRADESH,17.99,83.29
853205,BHAGALPUR,BIHAR,24.306,86.035
813210,BHAGALPUR,BIHAR,25.302,87.201
813108,BHAGALPUR,BIHAR,24.8832,86.9267
813212,BANKA,BIHAR,86.123,22.154
515101,ANANTAPUR,ANDHRA PRADESH,14.23,77.63
